id	state	path	line	kind	domain	expression	context	notes
a6e1622d393d4927	reviewed	include/DDrawMgr/AnimWorkerObj.h	68	static_cast-enum	AnimWorkerAct	m_actKey	return static_cast<AnimWorkerAct>(m_actKey);	Single explicit seam for mixed m_actKey storage: worker events use AnimWorkerAct while animation-name lookups use integer ActFindId ids.
62bb119be7b3aaa7	reviewed	include/DDrawMgr/AnimWorkerObj.h	71	IDX		act	m_actKey = IDX(act);	Single explicit seam for mixed m_actKey storage: worker events use AnimWorkerAct while animation-name lookups use integer ActFindId ids.
6385b31b51988b18	reviewed	include/Enums.h	258	static_cast-enum	name	static_cast<i32>(a) | static_cast<i32>(b)	return static_cast<name>(static_cast<i32>(a) | static_cast<i32>(b)); \	Enum-layer implementation: strict-only flag/step operators must cast arithmetic results back to the generic domain; IDX/HAS/BIT definitions implement the explicit domain-exit API.
425ca6262f89f869	reviewed	include/Enums.h	261	static_cast-enum	name	static_cast<i32>(a) & static_cast<i32>(b)	return static_cast<name>(static_cast<i32>(a) & static_cast<i32>(b)); \	Enum-layer implementation: strict-only flag/step operators must cast arithmetic results back to the generic domain; IDX/HAS/BIT definitions implement the explicit domain-exit API.
66ea59f0c716458b	reviewed	include/Enums.h	264	static_cast-enum	name	static_cast<i32>(a) ^ static_cast<i32>(b)	return static_cast<name>(static_cast<i32>(a) ^ static_cast<i32>(b)); \	Enum-layer implementation: strict-only flag/step operators must cast arithmetic results back to the generic domain; IDX/HAS/BIT definitions implement the explicit domain-exit API.
784988e9daa5829e	reviewed	include/Enums.h	267	static_cast-enum	name	~static_cast<i32>(a)	return static_cast<name>(~static_cast<i32>(a)); \	Enum-layer implementation: strict-only flag/step operators must cast arithmetic results back to the generic domain; IDX/HAS/BIT definitions implement the explicit domain-exit API.
4b9b3d5fcb065e17	reviewed	include/Enums.h	284	static_cast-enum	name	static_cast<i32>(a) + amount	return static_cast<name>(static_cast<i32>(a) + amount); \	Enum-layer implementation: strict-only flag/step operators must cast arithmetic results back to the generic domain; IDX/HAS/BIT definitions implement the explicit domain-exit API.
2ca9ec3c2fd5e71f	reviewed	include/Enums.h	287	static_cast-enum	name	static_cast<i32>(a) - amount	return static_cast<name>(static_cast<i32>(a) - amount); \	Enum-layer implementation: strict-only flag/step operators must cast arithmetic results back to the generic domain; IDX/HAS/BIT definitions implement the explicit domain-exit API.
7add66f1b3fffa2f	reviewed	include/Enums.h	376	IDX		x	#define IDX(x) GzEnumIndex(x)	Enum-layer implementation: strict-only flag/step operators must cast arithmetic results back to the generic domain; IDX/HAS/BIT definitions implement the explicit domain-exit API.
52fa6827b340b70e	reviewed	include/Enums.h	377	IDX		(flags) & (bit)	#define HAS(flags, bit) (IDX((flags) & (bit)))	Enum-layer implementation: strict-only flag/step operators must cast arithmetic results back to the generic domain; IDX/HAS/BIT definitions implement the explicit domain-exit API.
a863ac3e9cac0421	reviewed	include/Enums.h	378	IDX		x	#define BIT(x) (1 << IDX(x))	Enum-layer implementation: strict-only flag/step operators must cast arithmetic results back to the generic domain; IDX/HAS/BIT definitions implement the explicit domain-exit API.
3ffceafa1c0be7aa	reviewed	include/Enums.h	381	IDX		x	#define IDX(x) (x)	Enum-layer implementation: strict-only flag/step operators must cast arithmetic results back to the generic domain; IDX/HAS/BIT definitions implement the explicit domain-exit API.
36da2ab4f85af144	reviewed	include/Gruntz/Play.h	54	static_cast-enum	QuestLevel	m_levelIndex	return static_cast<QuestLevel>(m_levelIndex);	CPlay::m_levelIndex is mixed state storage; CurrentQuestLevel centralizes the QuestLevel view used by single-player code.
9821fbcf5e80270c	reviewed	include/Gruntz/StatusBarMgr.h	96	static_cast-enum	GruntzCommandId	0x80e4	const GruntzCommandId kActivateErrId = static_cast<GruntzCommandId>(0x80e4);	Unidentified retail command value is typed once at the constant definition; all consumers now use the typed constant.
640ce98fdf7d1c31	fixed	include/Gruntz/WorkerHandler.h	17	static_cast-enum	AnimWorkerAct	rec->m_actKey	switch (static_cast<AnimWorkerAct>(rec->m_actKey)) { \	WorkerHandler now uses the typed WorkerAct/SetWorkerAct accessors.
509b12dc1313c454	fixed	include/Gruntz/WorkerHandler.h	19	IDX	AnimWorkerAct	ACT_LIVE	rec->m_actKey = IDX(ACT_LIVE); \	WorkerHandler now uses the typed WorkerAct/SetWorkerAct accessors.
b3725fb89655301b	reviewed	include/Io/SaveGame.h	87	static_cast-enum	QuestLevel	m_curLevel	return static_cast<QuestLevel>(m_curLevel);	QuestLevel is stored as unsigned u32; conversion is the typed storage or numeric-comparison boundary.
4dfce0b4c25c3fae	fixed	src/Bute/ButeMgr.cpp	859	static_cast-enum	ButeLexAction	cls	switch (static_cast<ButeLexAction>(cls)) {	Retyped PeekState and its local result with GZ_ENUM_RETURN(ButeLexAction, i16), so the switch receives its domain from the producer.
02a3cce29bc594af	reviewed	src/Bute/ButeMgr.cpp	1128	static_cast-enum	ButeToken	m_tokType	ButeToken t = static_cast<ButeToken>(m_tokType);	Remaining casts load ButeToken from its proven i16 retail storage; the enum is 4 bytes under MSVC 5, so the split-width storage seam cannot be typed directly.
1fca0b391ffc6b3b	reviewed	src/Bute/ButeMgr.cpp	1252	static_cast-enum	ButeToken	m_tokType	ButeToken t = static_cast<ButeToken>(m_tokType);	Remaining casts load ButeToken from its proven i16 retail storage; the enum is 4 bytes under MSVC 5, so the split-width storage seam cannot be typed directly.
8c00c93258854b34	reviewed	src/Bute/ButeMgr.cpp	1273	static_cast-enum	ButeToken	m_tokType	t = static_cast<ButeToken>(m_tokType);	Remaining casts load ButeToken from its proven i16 retail storage; the enum is 4 bytes under MSVC 5, so the split-width storage seam cannot be typed directly.
36bc45a142a5670d	reviewed	src/Bute/ButeMgr.cpp	1285	static_cast-enum	ButeToken	m_tokType	t = static_cast<ButeToken>(m_tokType);	Remaining casts load ButeToken from its proven i16 retail storage; the enum is 4 bytes under MSVC 5, so the split-width storage seam cannot be typed directly.
098be66423f0878c	reviewed	src/Bute/SymTab.cpp	139	static_cast-enum	RezTypeTag	m_entry->m_key	return static_cast<RezTypeTag>(m_entry->m_key);	Current sites are the intentional boundaries around generic CSymRec/CHash integer keys and the raw DwordBytes representation used to pack/unpack RezTypeTag.
7e9c54f176302da4	reviewed	src/Bute/SymTab.cpp	393	IDX		fourcc	CSymRec* rec = static_cast<CSymRec*>(m_symbols.FindInt(IDX(fourcc)));	Current sites are the intentional boundaries around generic CSymRec/CHash integer keys and the raw DwordBytes representation used to pack/unpack RezTypeTag.
